"Order Id","Order Id"
"Seller Name","Seller Name"
Price,Price
Status,Status
"Configure Ads","Configure Ads"
"there is some error in saving ads settings.","there is some error in saving ads settings."
"Total of %1 record(s)
             were successfully updated","Total of %1 record(s)
             were successfully updated"
"deleted successfully","deleted successfully"
"not able to delete ad pricing","not able to delete ad pricing"
"invalid pricing id","invalid pricing id"
"Total of %1 record(s) were successfully deleted","Total of %1 record(s) were successfully deleted"
"Edit %1","Edit %1"
"New Pricing","New Pricing"
Pricing,Pricing
"Manage Pricing","Manage Pricing"
"Pricing Created.","Pricing Created."
"Something went wrong while saving the pricing. %1","Something went wrong while saving the pricing. %1"
"Manage Seller(s) Ads Purchase Details","Manage Seller(s) Ads Purchase Details"
"this ad position is already max sold out, please book other","this ad position is already max sold out, please book other"
"item already added to the cart","item already added to the cart"
"Item added to the cart successfully","Item added to the cart successfully"
"unable to add product to the cart","unable to add product to the cart"
"no ad block selected","no ad block selected"
"Ad Position","Ad Position"
"Valid Days","Valid Days"
Block,Block
"unable to add the product in cart","unable to add the product in cart"
"successfully disabled","successfully disabled"
"successfully enabled","successfully enabled"
"no block provided to delete","no block provided to delete"
"block(s) with id %1 deleted
              successfully","block(s) with id %1 deleted
              successfully"
"Edit/Create Block","Edit/Create Block"
"ads block saved","ads block saved"
"Title is a required field.","Title is a required field."
"Url is a required field.","Url is a required field."
"Please enter a valid URL. Protocol 
                    is required (http://, https:// or ftp://).","Please enter a valid URL. Protocol 
                    is required (http://, https:// or ftp://)."
"Image is a required field.","Image is a required field."
"Disallowed file type.","Disallowed file type."
"Home Seller Ads Page Top","Home Seller Ads Page Top"
"Home Seller Popup Ads","Home Seller Popup Ads"
"Home Seller Ads Page Bottom Container","Home Seller Ads Page Bottom Container"
"Category Seller Ads Page Top","Category Seller Ads Page Top"
"Category Seller Ads Page Bottom Container","Category Seller Ads Page Bottom Container"
"Category Seller Ads Main","Category Seller Ads Main"
"Category Seller Ads Div Sidebar Main Before","Category Seller Ads Div Sidebar Main Before"
"Category Seller Ads Div Sidebar Main After","Category Seller Ads Div Sidebar Main After"
"Catalog Product Seller Ads Page Top","Catalog Product Seller Ads Page Top"
"Catalog Product Seller Ads Page Bottom Container","Catalog Product Seller Ads Page Bottom Container"
"Home Seller Ads Product Main Info","Home Seller Ads Product Main Info"
"Catalog Search Seller Ads Page Top","Catalog Search Seller Ads Page Top"
"Catalog Search Seller Ads Page Bottom Container","Catalog Search Seller Ads Page Bottom Container"
"Catalog Search Seller Ads Main","Catalog Search Seller Ads Main"
"Catalog Search Seller Ads div Sidebar Main Before","Catalog Search Seller Ads div Sidebar Main Before"
"Catalog Search Seller Ads div Sidebar Main After","Catalog Search Seller Ads div Sidebar Main After"
"Checkout cart Seller Ads Page Top","Checkout cart Seller Ads Page Top"
"Checkout cart Seller Ads Page bottom Container","Checkout cart Seller Ads Page bottom Container"
"Checkout Seller Ads Page Top","Checkout Seller Ads Page Top"
"Checkout Seller Ads Page bottom Container","Checkout Seller Ads Page bottom Container"
"Unable to remove block record with id %1","Unable to remove block record with id %1"
"Full width","Full width"
"Custom width in pixels","Custom width in pixels"
"Please select a position","Please select a position"
"All the block pricing have already been set.","All the block pricing have already been set."
"Unable to remove pricing record with id %1","Unable to remove pricing record with id %1"
"Delete operation is forbidden for product
             under sku name wk_mp_ads_plan","Delete operation is forbidden for product
             under sku name wk_mp_ads_plan"
"This product cannot be added from here","This product cannot be added from here"
"This action cannot be performed.","This action cannot be performed."
Edit,Edit
label,label
"Valid for","Valid for"
"add number of days","add number of days"
"Number of ads","Number of ads"
"add number of adds within range 1-5","add number of adds within range 1-5"
"Save Ads Settings","Save Ads Settings"
Close,Close
"Disable Ads Demo","Disable Ads Demo"
"Enable Ads Demo","Enable Ads Demo"
"Ads plans","Ads plans"
"Note: If Ads product qty will be increase
                    at the time of checkout then the no of valid days will be increases
                    for that particular block in multiple.","Note: If Ads product qty will be increase
                    at the time of checkout then the no of valid days will be increases
                    for that particular block in multiple."
"there is no plans available yet","there is no plans available yet"
"%1 days","%1 days"
"Ad Blocks","Ad Blocks"
Book,Book
Booked,Booked
"This position has maximum %1 ads, and
                 %2 ads has already been booked","This position has maximum %1 ads, and
                 %2 ads has already been booked"
"Block Form","Block Form"
Save,Save
Delete,Delete
Title,Title
Image,Image
"Click here to add images.","Click here to add images."
Url,Url
"Ads Blocks","Ads Blocks"
"Block Title","Block Title"
"Search by product name","Search by product name"
Submit,Submit
"Delete Ad Blocks","Delete Ad Blocks"
Id,Id
"Created At","Created At"
"Updated At","Updated At"
"No ad blocks added yet","No ad blocks added yet"
"This position has maximum %1 ads, and
                     %2 ads has already been booked","This position has maximum %1 ads, and
                     %2 ads has already been booked"
"this ad is already booked","this ad is already booked"
"this ad is open to book","this ad is open to book"
Advertisment,Advertisment
Menu,Menu
"Advertisement Blocks","Advertisement Blocks"
"Buy Advertisement Positions","Buy Advertisement Positions"
Advertisement,Advertisement
"This position has maximum %1 ads, and %2 ads has 
                    already been booked","This position has maximum %1 ads, and %2 ads has 
                    already been booked"
"price for this position already added","price for this position already added"
"There is some error in processing","There is some error in processing"
"settings successfully saved","settings successfully saved"
"not able to switch status","not able to switch status"
"Create Ads Block Pricing","Create Ads Block Pricing"
"Seller(s) Ads Purchase Details","Seller(s) Ads Purchase Details"
"Marketplace Ads Positions","Marketplace Ads Positions"
Enable,Enable
"Ads auto play time","Ads auto play time"
"the auto play  time should be in milliseconds. E.g 1000","the auto play  time should be in milliseconds. E.g 1000"
"Global Height of all Ads","Global Height of all Ads"
"the global height should be in pixel. E.g 150","the global height should be in pixel. E.g 150"
"Change Status","Change Status"
"Are you sure to change the status of selected Ad(s) ?","Are you sure to change the status of selected Ad(s) ?"
"Ads Block Pricing Information","Ads Block Pricing Information"
back,back
"Save And Continue","Save And Continue"
"Ads Pricing","Ads Pricing"
"Block Position","Block Position"
"Order detail","Order detail"
"Add Pricing Plans","Add Pricing Plans"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
"Block Position Name","Block Position Name"
Created,Created
Modified,Modified
"Item Id","Item Id"
"Product Id","Product Id"
"Seller Id","Seller Id"
Invoice,Invoice
"Is Active","Is Active"
