"Invalid auction.","Invalid auction."
"Bidding Details","Bidding Details"
No,No
Yes,Yes
"Auto Bidding Details","Auto Bidding Details"
Winner,Winner
Lost,Lost
Pending,Pending
Complete,Complete
"Auction Details","Auction Details"
"Re Auction","Re Auction"
"Save","Save"
"Add Auction","Add Auction"
"Edit Auction","Edit Auction"
"Add New Auction","Add New Auction"
"Product Name","Product Name"
"Starting Price","Starting Price"
"Reserve Price","Reserve Price"
"Start Auction Time","Start Auction Time"
"Stop Auction Time","Stop Auction Time"
"Number of Days Till Winner Can Buy","Number of Days Till Winner Can Buy"
"Minimum Quantity","Minimum Quantity"
"Maximum Quantity","Maximum Quantity"
"Increment Option","Increment Option"
"Enabled","Enabled"
"Disabled","Disabled"
"Automatic Option","Automatic Option"
"Auction Information","Auction Information"
"Auction Product","Auction Product"
"Bid List","Bid List"
"Auto Bid List","Auto Bid List"
"Set Incremental Price Range","Set Incremental Price Range"
"Bid on ","Bid on "
"Bidding has been done for this product.","Bidding has been done for this product."
" Bids"," Bids"
"Add Auction On ","Add Auction On "
"Auction Bid Detail","Auction Bid Detail"
"Auction List","Auction List"
"Auto Bidding List","Auto Bidding List"
"Auction Bids Detail","Auction Bids Detail"
"Auction auto bid removed successfuly.","Auction auto bid removed successfuly."
"Not permitted.","Not permitted."
"Auction bid removed successfuly.","Auction bid removed successfuly."
"Add Auction Page","Add Auction Page"
"You can not be able to place bid on your own product.","You can not be able to place bid on your own product."
"Auction time expired...","Auction time expired..."
"Something went wrong...","Something went wrong..."
"You can not bid less than or equal to next minimum bid amount.","You can not bid less than or equal to next minimum bid amount."
"Your bid amount successfully saved.","Your bid amount successfully saved."
"You can not auto bid less than or equal to next minimum bid amount.","You can not auto bid less than or equal to next minimum bid amount."
"You are not allowed to auto bid again.","You are not allowed to auto bid again."
show_auto_outbid_msg,show_auto_outbid_msg
"Your auto bid amount successfully saved","Your auto bid amount successfully saved"
"A total of %1 record(s) have been canceled successfully.","A total of %1 record(s) have been canceled successfully."
"Invalid request.","Invalid request."
"Auction information saved successfully.","Auction information saved successfully."
"Auction type has to selected.","Auction type has to selected."
"Starting price should contain only decimal numbers.","Starting price should contain only decimal numbers."
"Reserve price should contain only decimal numbers.","Reserve price should contain only decimal numbers."
"Enter reserve price greater than starting price.","Enter reserve price greater than starting price."
"Start auction time has to be completed.","Start auction time has to be completed."
"Stop auction time has to be completed.","Stop auction time has to be completed."
"Number of days till winner can buy should contain only numbers.","Number of days till winner can buy should contain only numbers."
"Minimum qty should contain only numbers.","Minimum qty should contain only numbers."
"Maximum qty should contain only numbers.","Maximum qty should contain only numbers."
"Enter max quantity equal or greater than min quantity","Enter max quantity equal or greater than min quantity"
"Product no longer exist.","Product no longer exist."
"Edit Auction For ","Edit Auction For "
"Auction Product List","Auction Product List"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been cancel.","A total of %1 record(s) have been cancel."
"Enter max quantity equal or greater than min quantity.","Enter max quantity equal or greater than min quantity."
"Auction product has been successfully saved.","Auction product has been successfully saved."
"Incremental price saved successfully","Incremental price saved successfully"
"Invalid data","Invalid data"
"Unable to send mail.","Unable to send mail."
"you have won following product in ","you have won following product in "
"Product actual cost is ","Product actual cost is "
"Please go and buy this product.","Please go and buy this product."
"Congratulation! Your bid has been submitted successfully","Congratulation! Your bid has been submitted successfully"
"Congratulation! Your auto bid has been submitted successfully","Congratulation! Your auto bid has been submitted successfully"
" has bidded "," has bidded "
" on this product"," on this product"
"Please go and see more bidders.","Please go and see more bidders."
"Bid Amount","Bid Amount"
" has bidded auto bid "," has bidded auto bid "
"Auto Bid Amount","Auto Bid Amount"
"New higher bid than your's bid on the product","New higher bid than your's bid on the product"
"Please bid again and get chance to win this product.","Please bid again and get chance to win this product."
"Buy It Now","Buy It Now"
Auction,Auction
"You can't reorder the auction product .","You can't reorder the auction product ."
Win,Win
"Auction Time End","Auction Time End"
Process,Process
"Winner not defined","Winner not defined"
"Canceled by owner","Canceled by owner"
"Canceled by admin","Canceled by admin"
"Maximum ' . . ' quantities are allowed to purchase this item.","Maximum ' . . ' quantities are allowed to purchase this item."
"Minimum ' . . ' quantities are allowed to purchase this item.","Minimum ' . . ' quantities are allowed to purchase this item."
"You can add Only ' . . ' quantities to purchase this item.","You can add Only ' . . ' quantities to purchase this item."
"You can not add this quantities for purchase.","You can not add this quantities for purchase."
"You can not add auction product to cart.","You can not add auction product to cart."
"Only Auction product can be added to cart!.","Only Auction product can be added to cart!."
"You need to set the Incremental Price Range beforehand to enable Incremental Auction.","You need to set the Incremental Price Range beforehand to enable Incremental Auction."
"Edit / Detail ","Edit / Detail "
"Detail ","Detail "
"Not Available","Not Available"
"From","From"
"To","To"
"Increment","Increment"
"Delete","Delete"
"Current Amount","Current Amount"
"Start Time","Start Time"
"Stop Time","Stop Time"
"Minimum Qty","Minimum Qty"
"Maximum Qty","Maximum Qty"
"Offer Avail Time","Offer Avail Time"
" Days"," Days"
"Bid Rules","Bid Rules"
"Normal Bid List","Normal Bid List"
"Automatic Bid List","Automatic Bid List"
"Buy it now","Buy it now"
"View Detail","View Detail"
Menu,Menu
"Save Auction","Save Auction"
"Auction Options","Auction Options"
"Start Auction Time ","Start Auction Time "
"Stop Auction Time ","Stop Auction Time "
"Show Admin Increment Bid Rule","Show Admin Increment Bid Rule"
"Increment bid rule set by admin","Increment bid rule set by admin"
Price,Price
"you can add your Increment bid rule otherwise admin Increment bid rule will apply","you can add your Increment bid rule otherwise admin Increment bid rule will apply"
"Add Row","Add Row"
Back,Back
"No Product In List","No Product In List"
"My Auction Product List","My Auction Product List"
"Search by product name","Search by product name"
Submit,Submit
"Cancel Auction","Cancel Auction"
Quantity,Quantity
"Auction Date","Auction Date"
Options,Options
"Auction Status","Auction Status"
"Product Sold","Product Sold"
"Bid Detail","Bid Detail"
Action,Action
"Starting Price :","Starting Price :"
"Reserve Price :","Reserve Price :"
"Min : ","Min : "
"Max : ","Max : "
"Start :","Start :"
"Stop :","Stop :"
"Increment :","Increment :"
"Auto Bid :","Auto Bid :"
View,View
Edit,Edit
Detail,Detail
"No Product Available","No Product Available"
"Add auction not allowed","Add auction not allowed"
"Auctions Bid","Auctions Bid"
