"Save Cart Rule","Save Cart Rule"
"Save and Continue Edit","Save and Continue Edit"
"Edit Rule","Edit Rule"
"New Rule","New Rule"
"Reward system Cart Rule","Reward system Cart Rule"
"General Information","General Information"
"Reward Point","Reward Point"
"Amount From","Amount From"
"Amount To","Amount To"
Seller,Seller
"Start From Date","Start From Date"
"End Date","End Date"
"Rule Status","Rule Status"
Enabled,Enabled
Disabled,Disabled
"Reward Points On Categories","Reward Points On Categories"
"Reward point on category","Reward point on category"
"Reward points","Reward points"
"Set point on category","Set point on category"
"Enter points","Enter points"
"Reward point status","Reward point status"
Enable,Enable
Disable,Disable
"Category ID","Category ID"
"Category Name","Category Name"
"Reward Points","Reward Points"
Status,Status
"Reward Points On Category","Reward Points On Category"
"Reward Point On Category","Reward Point On Category"
"Reward Points On Products","Reward Points On Products"
"Reward point on product","Reward point on product"
"Set point on product","Set point on product"
"Product ID","Product ID"
"Product Name","Product Name"
"Reward Points On Product","Reward Points On Product"
"Reward Point On Product","Reward Point On Product"
"Rewarded Amount","Rewarded Amount"
"Manage Rewards on Cart","Manage Rewards on Cart"
"Reward Cart Rule is successfully Deleted!","Reward Cart Rule is successfully Deleted!"
"No record Found!","No record Found!"
"Please try again!","Please try again!"
"Manage Rewards","Manage Rewards"
"Reward Cart rules are successfully deleted from your account.","Reward Cart rules are successfully deleted from your account."
"Amount range already exist.","Amount range already exist."
"Cart Rule successfully saved.","Cart Rule successfully saved."
"Something went wrong while saving the data.","Something went wrong while saving the data."
"End date can not be lesser then start From date.","End date can not be lesser then start From date."
"Amount To can not be less then Amount From","Amount To can not be less then Amount From"
"Amount From or Amount To can not be less then 0","Amount From or Amount To can not be less then 0"
"Price has been successfully saved","Price has been successfully saved"
"Cart Rule successfully updated.","Cart Rule successfully updated."
"Reward System Credit Rule","Reward System Credit Rule"
"This rule no longer exists.","This rule no longer exists."
"Edit Reward Cart Rule","Edit Reward Cart Rule"
"Update Reward Cart Rule","Update Reward Cart Rule"
"Add Reward Cart Rule","Add Reward Cart Rule"
"Manage Reward Points on Cart","Manage Reward Points on Cart"
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Reward Points on Category","Reward Points on Category"
"Total of %1 category(s) reward status are updated","Total of %1 category(s) reward status are updated"
"Total of %1 category(s) reward are updated","Total of %1 category(s) reward are updated"
"Please Enter a valid points number to add.","Please Enter a valid points number to add."
"Please select categoryies to set points.","Please select categoryies to set points."
"Manage Reward Points on Product","Manage Reward Points on Product"
"Total of %1 product(s) reward status are updated","Total of %1 product(s) reward status are updated"
"Total of %1 product(s) reward are updated","Total of %1 product(s) reward are updated"
"Please Enter a valid rewrad points number to add.","Please Enter a valid rewrad points number to add."
"Please select products to set points.","Please select products to set points."
"Reward System Details","Reward System Details"
"Manage Category Rewards","Manage Category Rewards"
"Manage Product Rewards","Manage Product Rewards"
"Now total remaining reward points in your account are: %1","Now total remaining reward points in your account are: %1"
"Now total remaining reward points in his/her account are: %1","Now total remaining reward points in his/her account are: %1"
"Product Based","Product Based"
"Cart Based","Cart Based"
"Category Based","Category Based"
"Reward points can't be greater than Seller's Reward Point.","Reward points can't be greater than Seller's Reward Point."
"You can not use more than %1 reward points for this order purchase.","You can not use more than %1 reward points for this order purchase."
"Reward Amount can not be greater then total seller amount.","Reward Amount can not be greater then total seller amount."
"Reward Category with id ""%1"" does not exist.","Reward Category with id ""%1"" does not exist."
"Reward Detail with id ""%1"" does not exist.","Reward Detail with id ""%1"" does not exist."
"Reward Product with id ""%1"" does not exist.","Reward Product with id ""%1"" does not exist."
"Reward record with id ""%1"" does not exist.","Reward record with id ""%1"" does not exist."
"Reward point on registration","Reward point on registration"
"You got %1 reward points on registration","You got %1 reward points on registration"
" have registered on your site, and got %1 reward points"," have registered on your site, and got %1 reward points"
"Order id : %1 Debited amount on order item cancel","Order id : %1 Debited amount on order item cancel"
"Revert %1 reward points on order #%2 item cancel","Revert %1 reward points on order #%2 item cancel"
" Revert %1 reward points on order #%2 item cancel"," Revert %1 reward points on order #%2 item cancel"
"Order id : %1 credited amount","Order id : %1 credited amount"
