"Back","Back"
"New Category","New Category"
"Delete","Delete"
"ID","ID"
"Name","Name"
"SKU","SKU"
"Price","Price"
"Pricelist does not exists","Pricelist does not exists"
"Pricelist deleted succesfully","Pricelist deleted succesfully"
"Something went wrong","Something went wrong"
"Category does not exists.","Category does not exists."
"Seller Categories","Seller Categories"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"msg","msg"
"Category '%1' already exist.","Category '%1' already exist."
"Category saved successfully.","Category saved successfully."
"Manage Categories","Manage Categories"
"Select Seller","Select Seller"
"edit","edit"
"View Customer","View Customer"
"Enabled","Enabled"
"Disabled","Disabled"
"Category","Category"
"Save Category","Save Category"
"Position","Position"
"Status","Status"
"Products in Category","Products in Category"
"To Become Seller Please Contact to Admin.","To Become Seller Please Contact to Admin."
"Collection Page Categories","Collection Page Categories"
"Webkul","Webkul"
"Marketplace Seller Category","Marketplace Seller Category"
"Seller Category Settings","Seller Category Settings"
"Allow Seller Categories","Allow Seller Categories"
"If set to Yes then seller categories will be appeared in layered navigation on their collection page.","If set to Yes then seller categories will be appeared in layered navigation on their collection page."
"Allow Seller to Manage Category","Allow Seller to Manage Category"
"If set to Yes then sellers will be able to manage categories for their collection page.","If set to Yes then sellers will be able to manage categories for their collection page."
"Display Name for Filter in Layered Navigation","Display Name for Filter in Layered Navigation"
"eg: Seller Category","eg: Seller Category"
"Are you sure you want to delete selected categories?","Are you sure you want to delete selected categories?"
"Disable","Disable"
"Are you sure you want to disable selected categories?","Are you sure you want to disable selected categories?"
"Enable","Enable"
"Are you sure you want to enable selected categories?","Are you sure you want to enable selected categories?"
"Seller Name","Seller Name"
"Seller","Seller"
"Id","Id"
"Thumbnail","Thumbnail"
"Attribute Set","Attribute Set"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Type","Type"
"Select All","Select All"
"Deselect All","Deselect All"
"Select All on This Page","Select All on This Page"
"Seller Category"," Seller Category"
"Actions","Actions"
"Action","Action"
"Marketplace Seller Categories","Marketplace Seller Categories"

