"Your ip is blocked by admin.","Your ip is blocked by admin."
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page."
Back,Back
"Save and Continue Edit","Save and Continue Edit"
"Save Adminlogin","Save Adminlogin"
"Download GeoIP2 Library","Download GeoIP2 Library"
"Update GeoIP2 Library","Update GeoIP2 Library"
"Send Request","Send Request"
"Two Step Authentication","Two Step Authentication"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"A login and a password are required.","A login and a password are required."
"Something went wrong","Something went wrong"
"Saved Successfully","Saved Successfully"
"OTP Valid","OTP Valid"
"Not Valid","Not Valid"
Webkul,Webkul
Adminlogin,Adminlogin
"Admin Login Logs","Admin Login Logs"
"This Record no longer exists.","This Record no longer exists."
"Restrict or Allow this IP","Restrict or Allow this IP"
"New Adminlogin","New Adminlogin"
Adminlogins,Adminlogins
"Edit %1","Edit %1"
"You update the log.","You update the log."
"Something went wrong while saving the record.","Something went wrong while saving the record."
"Brute Force Login Logs","Brute Force Login Logs"
"Licence key required to download geoip2 library.","Licence key required to download geoip2 library."
"Download library success!","Download library success!"
"401 Unauthorized","401 Unauthorized"
"Reset password notification sent to all!","Reset password notification sent to all!"
"Scan Directories","Scan Directories"
"View Permissions","View Permissions"
"Security email sent!","Security email sent!"
"Login successful.","Login successful."
"Invalid login or password.","Invalid login or password."
"%1 on %2","%1 on %2"
"Permission should be %1","Permission should be %1"
"AbusIPDB processed","AbusIPDB processed"
"Blocked by AbusIPDB Score","Blocked by AbusIPDB Score"
"Could not save the frontendTwoStepAuth: %1","Could not save the frontendTwoStepAuth: %1"
"FrontendTwoStepAuth with id ""%1"" does not exist.","FrontendTwoStepAuth with id ""%1"" does not exist."
"Could not delete the FrontendTwoStepAuth: %1","Could not delete the FrontendTwoStepAuth: %1"
"This IP is Blocked","This IP is Blocked"
"This IP does not allowed","This IP does not allowed"
"This IP is allowed","This IP is allowed"
"Request user country blocked by admin","Request user country blocked by admin"
"%1 country blacklisted","%1 country blacklisted"
"IP ""%1"" checked for blacklist","IP ""%1"" checked for blacklist"
"%1 ip blacklisted","%1 ip blacklisted"
"blacklisted ips config not found","blacklisted ips config not found"
"IP ""%1"" checked for whitelisted","IP ""%1"" checked for whitelisted"
"%1 ip whitelisted by admin","%1 ip whitelisted by admin"
"whitelisted ips config not found","whitelisted ips config not found"
"""%1"" is not a valid email address.","""%1"" is not a valid email address."
Edit,Edit
Scan,Scan
"File system security is complex and extremely important.","File system security is complex and extremely important."
" We strongly recommend you consult an experienced system administrator"," We strongly recommend you consult an experienced system administrator"
" or network administrator before you decide what permissions to set."," or network administrator before you decide what permissions to set."
" We provide a mechanism for you to use but a permissions strategy is up to you."," We provide a mechanism for you to use but a permissions strategy is up to you."
"Website Mode","Website Mode"
"Your website is running under","Your website is running under"
%1,%1
mode,mode
"Server Type","Server Type"
"---------- Select Server Type ----------","---------- Select Server Type ----------"
"Shared Hosting (One User)","Shared Hosting (One User)"
"Private Hosting (Two User)","Private Hosting (Two User)"
"Note: ","Note: "
"Installing ...","Installing ..."
"Library installed.","Library installed."
Installed,Installed
Sending...,Sending...
"Scan this qrcode to register with Two Step Authentication system via Google Authenticator App.","Scan this qrcode to register with Two Step Authentication system via Google Authenticator App."
"You have already registered with Two Step Authentication.","You have already registered with Two Step Authentication."
"Open your Google Authenticator App and Enter OTP to login your account.","Open your Google Authenticator App and Enter OTP to login your account."
"Hi,","Hi,"
"* Required Fields","* Required Fields"
"Google Authenticator","Google Authenticator"
OTP,OTP
"Trust this device, do not ask again","Trust this device, do not ask again"
Login,Login
"Google Authentication","Google Authentication"
Disabled,Disabled
Enabled,Enabled
Save,Save
Register,Register
Information,Information
"Two Step Authentication adds a security layer to secure your account.","Two Step Authentication adds a security layer to secure your account."
"Google Authenticator App will give you OTP to login your account.","Google Authenticator App will give you OTP to login your account."
User,User
"From IP","From IP"
"Login Time","Login Time"
"New Login to %store_name from %browser","New Login to %store_name from %browser"
"We have received a request to login for your account at %store_name.","We have received a request to login for your account at %store_name."
"Device Location*","Device Location*"
"%browser on %platform %city, %country","%browser on %platform %city, %country"
"Location is approximate based on the login IP address","Location is approximate based on the login IP address"
"If this was you: ","If this was you: "
"Great! there is noting else you need to do","Great! there is noting else you need to do"
"If this wasn't you: ","If this wasn't you: "
"Please contact us immediately at %store_email","Please contact us immediately at %store_email"
"Or you can ","Or you can "
"reset your password now","reset your password now"
"Thank you, %store_name","Thank you, %store_name"
"Password Reset Request From %store_name","Password Reset Request From %store_name"
"%name,","%name,"
"There was recently some security changes happens in store, please reset your password for login in account.","There was recently some security changes happens in store, please reset your password for login in account."
"Reset your password here:","Reset your password here:"
"Thank you,","Thank you,"
Files/Directories,Files/Directories
Permission,Permission
Status,Status
"%store_name - Security Alert","%store_name - Security Alert"
"Login Attempted with Incorrect Details","Login Attempted with Incorrect Details"
"%store_name - Account Locked","%store_name - Account Locked"
"User @%username Account Locked","User @%username Account Locked"
"Account has been locked due to multiple invalid login attempts.","Account has been locked due to multiple invalid login attempts."
"%store_name - New File Upload Alert","%store_name - New File Upload Alert"
"New File Detected by System","New File Detected by System"
"File uploaded in your Magento.","File uploaded in your Magento."
"File Name: ","File Name: "
%name,%name
"File Type: ","File Type: "
